r,g,b,label
75.83749888519213,85.32372367999245,92.01271966163385,river
80.55089999999991,107.00120000000003,116.86860000000009,river
69.34523025549457,91.21599686868899,102.81557949182488,river
65.97410349316381,92.38039511779209,100.87731328762644,river
65.91106361459241,77.67657256858877,83.48937049219887,river
72.71909999999998,94.08210000000001,103.11569999999998,river
82.28899994743801,98.85818966714541,106.92774777778149,river
72.1468038876234,87.28197097942241,92.74382628196645,river
62.457937678125504,69.758562499572,55.67176293034133,river
110.10252046819815,125.38212023740137,131.85551766658074,river
70.55367933408135,81.53918510690002,75.63789759330305,river
63.74859555580093,75.52423397110421,83.95123583770946,river
59.74555743134273,68.47127498431992,75.83664516962014,river
78.77368455888048,90.69253070704104,97.78179337984994,river
49.025550155544316,56.960967081751896,65.05848225337361,river
68.47100733368754,78.98953368304468,82.67672651037606,river
102.5320983683903,113.60101317979537,122.35297737761111,river
67.45280846769623,77.81374627218007,83.48949407045892,river
69.83724254504791,78.32762924664928,86.24536255531918,river
45.676822479867,57.06118933677749,58.2626961763351,river
63.731567142245254,80.65675636427197,96.75287216852045,river
60.102695854285855,76.4198424587064,85.78332035862157,river
58.80292671625124,69.48660850402943,80.21689775972165,river
54.44007417862355,62.468668064615514,70.46532701278194,river
50.23662875275703,59.679958407094745,68.16496515235295,river
47.8049457946634,56.38657094389361,64.65984859384344,river
53.678265053539064,65.32674424574316,75.25119338828523,river
63.205606373353994,71.44716078941264,72.16707717668672,river
85.16639999999997,107.60650000000004,132.19990000000004,river
72.53890000000017,97.52269999999994,115.04810000000002,river
59.040793902175196,74.43991904777081,89.67524187687256,river
95.49257531292636,102.12229188314093,90.38459006629189,river
72.04267309115205,86.88502504728123,104.3952502942632,river
73.20255863508041,80.97281504910329,72.04691663768627,river
61.973839208580785,69.24142385846352,65.70458591185694,river
87.884,93.94389999999989,79.45530000000011,river
65.58573354134587,61.96672283958505,51.04394790123973,river
71.83005814490726,68.86068406990483,57.161646557824774,river
83.96807558106002,81.53684783091738,69.27683921981273,river
108.71100000000006,104.69839999999992,86.10079999999994,river
52.69805552798573,62.7507688649297,68.24392912260667,river
46.10046252818032,53.0233740041195,56.956117098690314,river
68.23660154981263,76.5114053179571,94.89744274584106,river
81.16585718551399,90.68739217465401,112.54586027248581,river
64.97446439413659,70.93946677942576,89.82884573683779,river
93.4777,91.33949999999997,104.7982,river
62.7162797250561,58.779577288540025,40.014950866865114,river
116.0332391588401,120.47911767125709,126.28476116243625,river
65.55811169095884,85.00365582434775,94.34055945576323,river
68.14522428467093,88.83315437431322,94.38468190307657,river
52.87500169771032,79.63221812031117,83.1134076834743,river
69.95648673393599,88.0071190202197,82.22465546849661,river
56.92240505885049,70.88488342620174,60.98623829487069,river
54.23911318251088,67.1363584983768,66.1879426096092,river
57.976591093817596,67.16987411126901,59.033438606005824,river
48.58388328342274,64.18920716569444,61.379160438338054,river
59.19484360015604,62.04244383123645,43.38762780723717,river
67.40689999999996,87.87750000000011,66.36950000000006,river
98.8961,121.87519999999985,104.25180000000005,river
55.77755316965355,66.57163472808716,54.541541971320875,river
59.44335862245763,68.69698317908214,58.416318688421825,river
45.17637960462771,49.21417704139544,43.87608704265534,river
61.79618458944925,69.05173860052668,59.50276202242598,river
37.06539931501712,40.925398416103725,33.64600607088943,river
51.07101956548671,61.5737519379335,48.356722231380886,river
114.60749999999994,132.53480000000002,131.85650000000007,river
74.16720025303633,83.41970575878989,88.97727224161385,river
37.16462396557013,49.85917824150245,32.16832513739469,river
23.732832163360477,32.28933704837975,21.21700053106641,river
55.588925729802625,64.57576869213976,62.717446232538904,river
54.69839999999994,67.88470000000001,60.43079999999997,river
63.38500180518055,69.24697932467787,63.8732617533242,river
59.21014033995541,70.943906535557,60.699646116033136,river
46.11930074024036,51.88508910965195,43.92936274657901,river
75.27402446069692,90.65387956422195,94.01837322223193,river
67.10679695013101,80.08264153415203,79.97252814240736,river
74.77869476899076,84.55337275146248,83.17421120654528,river
67.60886516164292,83.23240024594543,76.6589424605627,river
57.61095679718403,70.74383503595907,63.761833456024,river
76.26446525241276,92.35268332810006,90.97692946583327,river
103.6727,130.70080000000002,133.09440000000004,river
98.6852893330707,116.83164782511288,133.5561608895243,river
108.88189491201878,126.31844431287398,143.3035092847707,river
124.90592636521451,142.479400568022,158.22241624335547,river
115.53693047085419,132.87190477142195,149.23801936545368,river
77.18490427745252,95.07058674660334,110.19645496130529,river
98.39285525718049,116.54733226816634,131.65525026416756,river
108.62773693042874,125.65809339679168,142.51471748314847,river
73.18940685852944,88.17436880541531,100.3504781373993,river
109.04275556483333,126.1267650585054,142.23236981006033,river
77.16524505420182,87.54024029925208,99.24014806362042,river
65.49949999999998,81.96190000000013,98.76519999999967,river
68.31758937030192,83.02991531710555,91.77194095309812,river
63.63564630047679,78.04341702733367,85.71135462443566,river
74.93459263870776,97.3148003608865,109.33442241033985,river
62.459892200663504,82.480327130446,93.31770431699341,river
73.06191181976138,97.49499560955205,113.71123160125208,river
72.15842297724147,96.79306374364602,108.8606922494419,river
77.85720123501571,98.55680871674467,111.93157681809107,river
60.82117788394385,83.61414255075968,99.62527782860174,river
53.66020279938626,72.1547696353871,86.0979240370597,river
67.53531699171462,88.10569227488577,101.25793935979462,river
43.36679129599162,55.352791390554444,51.40848052113238,river
53.28232362287988,67.0967281633985,60.31401737022484,river
67.29105223262032,83.7814646004804,90.8871307344688,river
67.57327583404991,85.07960147370979,94.23625278077662,river
77.45563024480788,96.07942306711406,103.30442972597052,river
83.0439045465024,100.78331242945556,107.60021609055966,river
66.8845595420215,83.56223509181237,87.96544646669835,river
74.24548685548898,89.9815942331785,94.56720991693659,river
70.6122955701232,85.38549972438669,90.21013938451244,river
81.60952026929395,97.70514817817003,104.40377744892221,river
67.18443737110644,78.46255230586492,82.65380058218463,river
76.56158370648318,90.9365698766975,97.23928181545044,river
70.51560000000003,77.73420000000003,69.53220000000006,river
41.87808720840695,54.26211915724843,49.13678939602885,river
50.40552106058765,68.09449232621303,57.826375885409355,river
52.604771703793055,73.4724075521703,63.883436557704876,river
68.76570321361096,87.19746852495136,88.25974401603492,river
33.94307102373538,50.22430890506744,37.94384345908713,river
36.619592220081685,54.77816939813255,41.22740095266117,river
51.79270299756467,65.13222198178157,80.54858930643825,river
65.4761112232812,80.28332093931718,90.79262501454147,river
45.50656759299927,53.670247569367845,58.13655173704501,river
